,A-028,A-027,A-029,A-026,A-030,A-025,A-031,A-024,A-032,A-023,A-034,A-022,A-033,A-021,A-036,A-020,A-035,A-019,A-038,A-018,A-037,D-052,A-040,D-050,A-039,D-048,A-042,A-016,A-041,A-017,A-044,A-014,A-043,A-015,A-063,A-013,A-061,A-012,A-062,A-011,A-059,A-010,A-060,A-009,A-057,A-008,A-058,A-007,A-055,A-000,A-056,A-002,A-053,A-004,A-054,A-006,A-051,A-005,A-052,A-003,A-049,A-001,A-050,D-047,B-056,B-055,B-020,B-019,B-021,B-018,B-022,B-017,B-023,B-016,B-024,B-015,B-053,B-058,B-054,B-057,B-025,B-014,B-026,B-013,B-027,B-012,B-028,B-011,B-029,B-010,B-051,B-060,B-052,B-059,B-030,B-009,B-031,B-008,B-032,B-007,B-034,B-006,B-033,B-005,B-049,B-062,B-050,B-061,B-036,B-002,B-038,B-004,B-040,B-003,B-042,B-001,B-044,B-000,B-046,B-063,B-048,A-047,B-035,A-045,B-037,A-048,B-039,A-046,D-020,D-021,D-019,D-022,D-018,D-023,D-017,D-024,D-016,D-025,D-015,D-026,C-047,D-027,C-048,D-028,C-045,D-029,C-046,D-030,C-043,D-031,C-044,D-032,C-041,D-034,C-042,D-033,C-039,D-036,C-040,D-035,C-037,D-038,C-038,D-037,C-035,D-040,C-036,D-039,C-033,D-042,C-034,D-041,C-032,D-044,C-031,D-043,C-030,D-045,C-029,D-057,C-028,D-056,C-026,D-054,C-024,B-047,C-022,B-045,C-020,B-043,C-018,B-041,C-056,D-007,C-055,D-008,C-008,D-053,C-007,C-009,D-055,C-010,D-006,C-053,D-005,C-054,C-058,D-009,C-057,D-010,C-006,D-051,C-005,C-011,D-058,C-012,D-004,C-051,D-003,C-052,C-060,D-011,C-059,D-012,C-004,D-049,C-003,C-013,D-059,C-014,D-060,C-049,D-001,C-050,C-062,D-013,C-061,D-014,C-002,D-046,C-001,C-015,D-002,C-017,D-061,C-019,D-062,C-021,D-063,C-023,D-000,C-025,C-063,C-027,C-000,C-016
35,-53,-16,-12,-17,-20,-4,3,-7,-17,-8,-19,-48,-18,-5,-15,-5,-16,-2,-14,-1,-17,-2,-11,-11,-22,-17,-34,-17,-14,-5,-10,-5,-10,-40,-1,-17,-3,-41,-1,-50,-53,-48,-33,-55,-15,-11,-8,-49,-12,-25,-12,-62,-12,-15,-12,-28,-20,-42,-50,-52,-45,-51,-35,-51,-59,-6,-3,-10,-4,-8,-2,-10,-8,-11,-7,-12,-9,-5,-8,-5,-13,-13,-13,-13,-1,-11,-10,-15,-5,-21,-8,-5,-9,-4,-4,-21,2,-20,-12,-16,-20,-23,-19,-19,-12,-8,-12,-8,-55,-42,-55,-56,-48,-54,-33,-53,-53,-42,-23,-21,-31,-43,-29,-35,-26,-34,-20,-34,-55,-43,-48,-43,-38,-39,-10,-32,-32,-24,-1,-28,-28,-30,-6,6,-43,1,-34,-31,-24,-3,-34,-40,-29,-75,-53,-74,-53,-72,-49,-18,-22,-32,-8,-48,-25,-43,-21,-57,-58,-37,-12,-39,-10,-33,-5,-59,-18,-40,1,-37,-39,-10,-34,-59,-6,-28,-50,-9,-50,-38,-38,-40,2,-11,-2,-10,-8,-12,-16,-15,-8,-12,-11,-2,-10,-1,0,-15,-1,-13,-16,-13,-14,-13,-6,-18,-13,-5,-28,-5,0,-9,-4,-12,-20,-15,-12,-15,-7,-8,0,-3,-12,-8,3,-9,1,-10,-8,-18,-22,-11,-15,-4,1,-45,2,0,6,1,-63,-19,-7,-6,-24,-56
41,-49,-12,-9,-16,-19,1,2,-6,-17,-7,-19,-52,-17,-3,-14,-5,-16,1,-13,-2,-18,-6,-10,-6,-22,-13,-34,-33,-11,0,-10,-3,-9,-36,-1,-37,-3,-22,-1,-47,3,-13,-10,-39,-8,-9,-5,-45,-7,-41,-8,-60,-45,-14,-28,-35,-24,-15,-37,-49,-18,-15,-23,-49,-54,-6,-4,-10,-3,-8,-1,-10,-5,-4,-8,-12,-11,-5,-8,-5,-13,-11,-13,-14,-2,-11,-9,-14,-4,-22,-7,-4,-10,-6,-6,-25,1,-20,-12,-18,-18,-22,-21,-27,-11,-14,-11,-50,-50,-43,-52,-48,-44,-47,-11,-51,-45,-50,-32,-28,-28,-46,-37,-34,-27,-31,-24,-23,-51,-29,-6,-42,-40,-40,-18,-28,-40,-23,-42,-9,-9,-29,-8,-28,-45,-12,-22,-34,-14,-27,-50,-20,-52,-55,-37,-48,-55,-49,-25,-55,-11,-54,-46,-36,-47,-29,-13,-60,-48,-57,-30,-39,-13,-23,-13,-14,-3,-43,1,-40,-38,-52,-25,-10,-30,-30,-47,-40,-32,-32,-32,-42,2,-12,-2,-7,-10,-8,-17,-19,-9,-12,-11,-3,-10,0,1,-15,-1,-13,-15,-12,-14,-12,-5,-18,-14,-7,-28,-3,0,-8,-5,-12,-18,-13,-12,-13,-8,-8,-2,-3,-13,-8,0,-12,-5,-11,-12,-19,-20,-21,-13,-3,1,-42,5,-23,6,-18,-51,0,-3,-3,-23,-55
43,-33,-2,-1,-8,-15,-2,3,-7,-16,-7,-18,-51,-17,-3,-14,-6,-17,1,-13,0,-17,-3,-10,-16,-18,-11,-22,-45,-12,0,-9,-2,-11,-50,-2,-53,-5,-53,-2,-48,-45,-26,-5,-16,-7,-7,-7,-46,-9,-44,-9,-60,-47,-36,-28,-29,-28,-23,-46,-50,-25,-16,-18,-49,-30,-7,-5,-7,-4,-8,-1,-14,-6,-9,-10,-12,-13,-4,-11,-5,-14,-13,-13,-14,-1,-11,-6,-14,-5,-21,-8,-4,-10,-7,-6,-27,1,-23,-12,-21,-17,-29,-22,-25,-51,-13,-11,-49,-19,-48,-18,-47,-13,-47,-14,-45,-45,-43,-31,-12,-33,-43,-46,-33,-32,-31,-24,-26,-52,-12,-7,-16,-31,-42,-18,-34,-30,-9,-35,-33,-31,-12,-21,-25,-14,-17,-35,-36,-33,-26,-34,-24,-50,-72,-10,-66,-50,-63,-21,-52,-18,-44,-42,-48,-49,-36,-35,-56,-57,-13,-26,-39,-26,-18,-11,-54,-1,-54,-17,-42,-44,-7,-26,-19,-18,-9,-40,-24,-4,-37,-3,-45,4,-7,1,-6,-8,-7,-17,-16,-9,-12,-11,-3,-10,0,0,-13,-2,-13,-14,-13,-14,-13,-6,-17,-15,-6,-29,-3,-1,-10,-5,-10,-18,-13,-14,-13,-7,-10,-1,-4,-13,-9,0,-12,-5,-12,-12,-19,-19,-17,-16,-6,1,-40,5,-17,7,-25,-59,3,0,-1,-21,-51
47,-48,-2,1,-13,-12,-4,0,-8,-14,-8,-19,-54,-17,-6,-13,-4,-15,1,-13,-1,-15,-2,-10,-21,-17,-10,-23,-50,-12,-4,-9,-2,-10,-48,0,-60,-4,-46,-1,-50,-54,-35,-4,-17,-8,-38,-7,-47,-10,-44,-11,-58,-35,-44,-33,-36,-41,-21,-24,-48,-29,-19,-11,-46,-28,-4,-7,-6,-3,-8,0,-13,-6,-9,-10,-12,-14,-5,-11,-5,-14,-13,-13,-13,-1,-11,-6,-15,-5,-19,-9,-4,-10,-8,-5,-26,0,-25,-12,-21,-18,-25,-22,-34,-13,-47,-20,-46,-17,-24,-24,-23,-22,-47,-15,-47,-47,-41,-16,0,-21,-22,-39,-14,-32,-30,-30,-15,-55,-24,-8,-9,-42,-11,-35,-24,-36,-11,-33,-37,-42,-34,-16,-17,-18,1,-14,-12,-11,-21,-39,-18,-40,-64,-15,-66,-46,-74,-50,-57,-22,-54,-49,-50,-29,-16,-55,-58,-9,-46,-9,-49,-41,-48,-11,-26,-2,-16,-5,-2,4,-25,-33,-10,-35,-43,-47,-37,-48,-37,-10,-44,2,-8,-1,-12,-8,-8,-15,-13,-9,-11,-12,-3,-11,-2,-1,-15,-1,-11,-15,-13,-14,-13,-5,-18,-16,-6,-29,-3,0,-9,-6,-9,-17,-12,-12,-13,-7,-9,-2,-5,-13,-9,0,-12,-12,-11,-29,-16,-28,-24,-17,-14,2,-34,5,-3,4,-19,-66,-7,-3,-4,-23,-60
49,-32,2,2,-12,-12,-1,0,-9,-15,-8,-19,-60,-16,-2,-14,-4,-16,0,-14,-2,-15,-3,-11,-35,-18,-11,-35,-53,-13,-6,-11,-4,-9,-52,-1,-42,-4,-14,-1,-55,-49,-16,-1,-25,-12,-10,-8,-51,-8,-49,-12,-62,-16,-41,-42,-29,-43,-19,-29,-49,-24,-20,-13,-49,-35,-5,-9,-7,-5,-8,0,-13,-7,-9,-10,-12,-14,-4,-11,-5,-14,-12,-12,-13,-1,-11,-6,-15,-5,-21,-10,-4,-10,-7,-4,-29,-1,-23,-11,-21,-17,-24,-23,-29,-13,-46,-20,-48,-17,-25,-25,-42,-40,-31,-12,-40,-46,-40,-37,-2,-40,-22,-39,-30,-31,-31,-32,-19,-51,-20,-22,-35,-41,-39,-34,-35,-14,-34,-44,-40,-47,-21,-43,-20,-20,-8,-19,-22,-30,-23,-41,-30,-54,-73,-9,-61,-53,-45,-11,-50,-33,-56,-54,-40,-57,-52,-24,-55,-48,-51,-40,-55,-51,-35,-20,-16,-3,-57,-2,-9,-48,-1,-32,-12,-17,-5,-46,-47,-14,-48,-3,-40,2,-9,-3,-11,-9,-7,-17,-21,-10,-12,-11,-3,-10,-5,-1,-15,-2,-11,-17,-12,-15,-12,-4,-18,-16,-7,-29,-3,-1,-9,-7,-11,-18,-13,-14,-14,-10,-11,-4,-6,-13,-9,0,-12,-17,-11,-27,-25,-27,-30,-18,-14,2,-36,2,-38,0,-2,-59,2,-6,-3,-23,-51
54,-48,-4,1,-8,-18,-3,0,-9,-16,-7,-19,-54,-17,-5,-14,-3,-16,-1,-14,0,-15,-4,-11,-33,-18,-11,-45,-41,-11,-3,-8,-4,-54,-54,-2,-55,-1,-41,4,-47,-31,-44,0,-19,-7,-9,-7,-15,-8,-49,-12,-62,-22,-16,-34,-23,-45,-12,-21,-20,-27,-36,-14,-50,-22,-1,-3,-6,-4,-8,-1,-15,-5,-9,-11,-12,-13,-4,-11,-4,-13,-11,-11,-13,-1,-10,-6,-14,-3,-18,-7,-3,-5,-8,-1,-28,5,-23,-11,-20,-17,-22,-22,-55,-11,-44,-23,-42,-16,-57,-51,-53,-43,-53,-8,-54,-46,-48,-46,-1,-37,-28,-41,-36,-32,-31,-36,-13,-51,-20,-38,-35,-12,-38,-35,-41,-41,-23,-44,-31,-48,-33,-36,-18,-13,-4,-25,-23,-28,-22,-39,-52,-39,-74,-38,-69,-48,-63,-32,-54,-20,-30,-42,-50,-46,-39,-54,-23,-50,-33,-22,-39,-40,-56,-7,-16,-3,-10,-2,-44,-28,-54,-34,-43,-35,-3,-38,-22,-40,-30,-7,-12,-2,-10,0,-12,-10,-12,-16,-11,-9,-12,-12,-2,-10,-2,-1,-11,0,-9,-15,-14,-14,-12,-4,-17,-15,-6,-29,-2,0,-8,-6,-10,-22,-13,-14,-13,-9,-10,-3,-2,-14,-11,-2,-15,-27,-8,-35,-27,-25,-25,-20,-14,1,-12,-3,-11,-3,-8,-58,0,-1,-2,-23,-15
57,-41,3,0,-13,-12,-4,-1,-9,-14,-9,-19,-54,-17,-7,-14,-2,-17,0,-14,0,-15,-4,-11,-34,-20,-12,-13,-19,-12,-6,-8,-3,-52,-46,-2,-48,0,-27,4,-32,-47,-32,-4,-16,-9,-13,-9,-26,-8,-35,-12,-63,-19,-22,-42,-13,-46,-15,-40,-44,-23,-17,-15,-50,-22,-3,-6,-5,-3,-9,-3,-18,-6,-19,-11,-12,-13,-4,-11,-4,-13,-11,-11,-12,0,-11,-6,-14,-3,-18,-7,-3,-7,-8,-3,-27,4,-24,-12,-20,-16,-23,-23,-44,-12,-17,-24,-22,-14,-61,-52,-54,-42,-53,-11,-52,-44,-49,-23,0,-39,-24,-43,-15,-32,-27,-29,-10,-52,-16,-9,-44,-14,-30,-37,-35,-15,-29,-32,-29,-36,-22,-8,-30,0,-8,-9,-30,-1,-18,-34,-16,-37,-75,-6,-67,-45,-63,-39,-50,-46,-49,-44,-49,-42,-46,-44,-12,-42,-35,-11,-52,-44,-53,9,-33,6,-6,2,-42,-18,-47,-25,-11,1,-3,-16,-5,-2,-48,-18,-31,-6,-9,-1,-11,-6,-11,-14,-19,-9,-9,-12,0,-10,3,1,-14,2,-9,-13,-12,-13,-11,-5,-16,-16,-3,-29,0,1,-9,-5,-10,-23,-13,-14,-11,-6,-8,-4,-2,-15,-10,-1,-15,-32,-12,-34,-17,-15,-26,-22,-17,4,-28,-8,-8,-6,0,-55,5,-4,-3,-22,-41
61,-47,1,-1,-9,-16,-2,-1,-9,-14,-7,-19,-51,-19,-6,-15,-2,-16,0,-16,0,-17,-4,-11,-42,-19,-11,-42,-42,-9,-3,-5,-2,-53,-53,-1,-60,-1,-15,5,-38,-46,-14,-3,-39,-10,-40,-10,-18,-8,-34,-10,-60,-46,-46,-44,-42,-46,-20,-42,-45,-23,-22,-15,-50,-25,-3,-4,-5,-2,-8,-1,-19,-8,-13,-11,-11,-13,-4,-9,-4,-12,-11,-11,-14,-1,-13,-6,-15,-4,-19,-8,-4,-7,-8,-1,-26,5,-25,-9,-21,-17,-20,-23,-55,-11,-39,-18,-10,-29,-34,-39,-44,-11,-25,-26,-34,-19,-30,-35,-4,-16,-26,-48,-34,-31,-30,-32,-12,-53,-31,-47,-39,-13,-21,-31,-26,-31,-24,-44,-38,31,-19,3,-37,38,-37,-18,-5,-11,-20,-13,-23,-15,-71,-31,-79,-20,-63,-3,-53,-22,-53,-7,-49,-22,-11,-17,-19,-14,-12,-30,-12,-46,-56,37,-31,15,-49,19,-39,-19,-43,-8,-46,-18,-8,-31,-39,-15,-11,19,-12,-2,-9,12,-11,3,-13,11,-17,-8,9,-12,15,-11,15,11,-14,14,-10,2,-12,-2,6,-11,5,-17,9,-27,17,17,-9,12,-10,-21,-16,1,7,-5,6,-2,6,-13,8,17,-13,19,-4,2,-19,-9,7,-15,6,1,-12,0,-2,0,7,-56,6,0,7,-18,-26
64,-45,0,0,-7,-11,-4,2,-9,-17,-8,-18,-51,-16,-3,-14,-1,-17,0,-15,0,-17,-4,-10,-27,-18,-10,-48,-43,-11,-2,-6,-3,-44,-57,0,-62,-1,-15,5,-12,-43,-18,0,-50,-10,-41,-10,-40,-8,-26,-11,-71,-44,-24,-39,-38,-42,-21,-30,-44,-20,-25,-19,-54,-23,-1,-7,-5,-2,-8,-2,-18,-6,-13,-11,-11,-13,-4,-9,-4,-12,-11,-11,-12,0,-11,-6,-14,-3,-17,-6,-2,-5,-8,0,-29,4,-24,-11,-22,-16,-32,-22,-55,-38,-8,-31,-24,-17,-34,-32,-16,-38,-36,-27,-36,-13,-22,-37,1,-19,-24,-42,-15,-30,-29,-24,-16,-52,-34,-51,-45,-20,-34,-29,-27,-25,-22,-26,-25,-38,-34,14,-37,31,-17,-11,-8,8,-18,-3,-22,-25,-72,11,-65,4,-75,-23,-52,18,-15,-22,-51,-20,-13,-30,-30,-12,-24,-22,-49,-21,-21,18,-13,26,-19,48,-39,-20,-40,-16,-22,-10,-6,-1,-23,3,-52,-7,-22,-10,-10,15,-9,4,-8,20,-15,-4,16,-12,21,-10,25,14,-13,19,-11,6,-10,-2,15,-5,13,-15,13,-28,27,21,-9,18,-10,-20,-16,5,15,-5,13,0,17,-12,14,16,-11,5,-6,11,-19,19,9,-15,3,5,-14,0,-33,-6,9,-52,8,4,14,-12,-35
68,-45,-1,3,-8,-17,-9,-3,-9,-17,-9,-20,-53,-17,-6,-16,-2,-17,1,-14,-1,-18,-4,-10,-39,-17,-10,-44,-45,-20,0,-8,-5,-40,-58,0,-60,-2,-14,3,-15,-42,-18,-2,-49,-10,-42,-10,-21,-11,-23,-13,-61,-46,-39,-42,-34,-46,-15,-26,-12,-19,-40,-19,-50,-22,-2,-4,-5,-4,-9,-1,-16,-5,-17,-9,-11,-11,-4,-7,-4,-11,-11,-11,-13,-1,-12,-6,-15,-3,-18,-8,-1,-7,-8,-2,-29,5,-24,-12,-20,-16,-45,-23,-41,-8,-4,-36,-37,-47,-51,-25,-32,-11,-37,-30,-36,-39,-31,-28,1,-37,-24,-44,-11,-31,-22,-22,-18,-51,-22,-45,-40,-25,-22,-27,-32,-39,-29,-41,-29,-13,-32,7,-35,3,-37,0,-34,12,-21,0,-40,2,-75,-8,-52,-9,-61,-7,-56,24,-31,8,-25,10,-13,35,-39,7,-41,-6,-9,-4,-11,11,-45,-12,-56,51,-39,0,-38,1,0,-9,-42,-2,-30,2,-12,-13,-26,28,-9,43,-6,5,-6,45,43,-1,43,-13,37,-11,53,11,-13,37,-8,31,-12,-1,35,-6,39,-15,5,-28,53,24,-9,-2,-10,-12,-16,7,40,-4,30,-2,14,-13,16,22,-11,24,-15,43,-37,158,27,-18,5,0,4,-1,-29,-7,4,-44,11,-1,26,6,-7
71,-45,-4,4,-9,-14,-6,-1,-9,-18,-8,-20,-53,-18,-1,-17,-3,-17,1,-14,-2,-20,-5,-10,-23,-17,-9,-38,-45,-19,-5,-9,-3,-37,-59,0,-55,-3,-24,1,-13,-41,-37,-2,-33,-10,-7,-10,-23,-12,-29,-14,-62,-45,-29,-43,-14,-46,-13,-25,-16,-22,-40,-20,-50,-20,0,-6,-5,-2,-8,-1,-15,-7,-13,-5,-11,-6,-4,-3,-4,-9,-11,-11,-12,0,-11,-6,-14,-3,-18,-10,-3,-10,-8,-3,-29,5,-24,-11,-21,-15,-31,-24,-31,-8,-34,-33,-32,-49,-25,-21,-43,-10,-16,-36,-32,-24,-21,-28,-2,-30,-25,-38,-25,-27,-28,-26,-12,-48,-31,-44,-38,-38,-25,-29,-30,-31,-31,-36,-31,-5,-31,10,-33,36,-1,4,-31,15,-16,4,-19,7,-69,5,-48,31,-58,8,-54,26,-18,14,-16,-1,-29,-9,-13,3,-47,-1,-15,-2,-55,10,-7,26,-42,49,-35,12,-42,4,-33,-9,-15,1,-40,3,-39,-6,-19,34,-8,47,-10,5,-7,46,-6,-8,47,-13,18,-11,55,4,-13,41,-10,34,-12,-6,20,-7,42,-15,0,-28,23,6,-9,0,-10,-10,-16,-4,41,-7,19,-4,12,-13,3,15,-11,35,-17,32,-43,167,36,-15,-7,3,8,-4,-24,2,7,-22,12,3,14,20,-2
75,-45,-4,4,-8,-17,-9,0,-8,-18,-8,-20,-52,-17,-4,-16,-2,-18,-12,-17,-3,-20,-5,-12,-8,-18,-9,-41,-46,-17,-1,-7,-8,-38,-52,1,-18,-4,-28,0,-17,-42,-41,-4,-16,-11,-7,-10,-42,-15,-22,-14,-60,-19,-20,-40,-19,-43,-13,-31,-23,-22,-17,-20,-50,-19,1,-6,-3,-2,-7,0,-19,-9,-18,-5,-11,-6,-3,-1,-4,-9,-11,-11,-12,-1,-11,-7,-14,-2,-17,-9,-2,-8,-8,-3,-27,4,-25,-12,-20,-15,-47,-23,-49,-7,-29,-30,-36,-33,-50,-22,-44,-11,-36,-28,-24,-29,-22,-27,2,-16,-26,-39,-12,-30,-23,-22,-9,-47,-23,-53,-44,-22,-15,-30,-33,-37,-27,-40,-32,-12,-25,8,-23,27,-38,-1,-24,16,-22,4,-33,1,-67,-7,-49,-9,-59,-5,-33,-9,-48,-6,-41,-10,-42,0,-49,16,-42,-14,-51,-10,-56,11,-37,20,-5,7,-33,19,-14,0,-16,22,-41,-4,-14,-13,-45,8,-29,14,-9,27,-10,8,-3,24,-13,-9,20,-13,18,-10,23,5,-13,23,-11,6,-10,2,15,-6,16,-15,5,-28,28,24,-8,13,-10,-16,-10,2,17,-2,6,-7,2,-13,-1,5,-9,7,-30,-7,-41,-9,-10,-27,1,-4,6,1,-23,-2,-2,-21,6,4,8,-6,0
77,-46,-3,1,-9,-15,-6,-1,-9,-19,-8,-21,-50,-16,-2,-17,-1,-17,-9,-16,-3,-19,-3,-12,-19,-18,-9,-42,-49,-26,-3,-11,-4,-7,-32,-2,-19,-4,-23,1,-18,-46,-40,-4,-14,-11,-7,-10,-16,-22,-47,-13,-63,-19,-20,-38,-25,-39,-15,-25,-21,-32,-42,-21,-50,-19,-1,-6,-4,-2,-8,0,-16,-10,-14,-5,-11,-5,-3,-1,-4,-9,-11,-11,-12,-1,-11,-7,-14,-2,-17,-10,-2,-9,-8,-2,-28,3,-25,-12,-22,-16,-42,-22,-37,-8,-8,-7,-38,-48,-52,-20,-44,-11,-15,-31,-20,-15,-25,-29,-3,-19,-28,-49,-24,-37,-29,-23,-19,-47,-29,-50,-42,-19,-28,-26,-33,-26,-28,-36,-32,-2,-33,5,-20,-1,-40,1,-20,6,-14,1,-41,6,-69,18,-42,-3,-59,9,-45,-7,-35,8,-38,4,-43,0,-44,39,-25,-4,-14,-4,-56,9,-9,18,-31,9,-25,15,-44,13,-9,4,-38,7,-13,15,-10,-5,-27,19,-9,35,-13,5,-5,-9,34,-7,35,-11,25,-10,6,16,-11,36,-8,18,-11,-1,22,-5,30,-16,0,-28,30,25,-9,12,-9,-13,-10,7,26,-2,16,-4,3,-11,7,10,-3,4,-12,-8,-12,-4,9,-23,6,-14,7,1,-23,5,-2,-17,11,8,14,4,2
82,-43,-7,0,-10,-17,-6,-3,-10,-19,-7,-20,-60,-17,-5,-17,-2,-18,-4,-18,-4,-17,-3,-13,-25,-24,-19,-33,-52,-31,-20,-11,-8,-18,-38,1,-23,-2,-19,2,-52,-41,-35,-25,-17,-8,-29,-12,-25,-32,-28,-13,-61,-26,-22,-36,-21,-41,-24,-37,-21,-16,-19,-37,-50,-21,0,-2,-4,-2,-8,-2,-16,-6,-15,-5,-11,-6,-3,-3,-3,-9,-11,-11,-12,-1,-11,-6,-15,-1,-18,-10,-3,-10,-8,-4,-28,4,-24,-11,-24,-16,-34,-24,-36,-8,-13,-11,-41,-46,-36,-19,-18,-13,-19,-24,-20,-23,-20,-29,1,-15,-26,-37,-27,-32,-26,-30,-9,-47,-30,-49,-32,-38,-34,-32,-31,-43,-35,-27,-32,-12,-33,-13,-12,-15,-32,-13,-37,-15,-20,-13,-43,-7,-48,-13,-47,-18,-39,-12,-45,-19,-57,-15,-21,-13,-53,-19,-45,-19,-53,-19,-40,-14,-54,3,-6,1,-23,2,-35,-4,-47,-8,-20,-8,-13,-1,-7,-12,-37,-12,-13,-9,-10,-5,-14,-8,-5,-15,-15,-3,-13,-12,-7,-11,-5,-5,-12,11,-10,-15,-9,-16,-13,-5,-16,-15,-9,-29,-6,-3,-9,-6,-9,-19,-9,-7,0,-2,-4,-1,-10,-56,5,-2,-5,-4,-40,-18,-43,-20,-8,-45,-4,1,-10,3,-16,6,-5,-66,3,-3,3,-6,-13
84,-49,-4,3,-13,-16,-9,-3,-10,-21,-7,-18,-53,-18,-2,-17,-2,-18,-3,-17,-3,-18,-3,-13,-17,-20,-13,-36,-51,-31,-4,-9,-10,-19,-55,1,-19,-2,-20,1,-50,-47,-23,-23,-17,-9,-27,-30,-21,-9,-44,-13,-62,-33,-30,-37,-18,-39,-15,-27,-29,-33,-34,-24,-50,-18,1,-3,-4,-2,-8,0,-15,-5,-14,-5,-11,-6,-4,-2,-4,-9,-10,-11,-12,-1,-11,-6,-14,-2,-19,-13,-3,-11,-8,-4,-28,4,-26,-11,-23,-15,-57,-22,-50,-7,-13,-7,-37,-15,-21,-23,-18,-11,-38,-22,-19,-15,-21,-30,2,-24,-14,-39,-15,-28,-27,-37,-11,-51,-26,-49,-41,-37,-31,-26,-31,-22,-31,-25,-17,-20,-14,2,-31,-10,-38,-9,-30,1,-20,-15,-37,-12,-70,17,-38,-21,-37,-18,-34,-17,-57,-20,-17,-20,-44,-23,-48,-13,-45,-17,-45,-14,-58,3,-42,3,-38,6,-1,11,-42,0,-17,4,-2,-16,-44,-24,-43,-11,-12,4,-10,9,-13,0,-5,2,-17,-1,2,-12,5,-10,0,10,-10,9,-9,-4,-9,-4,-1,-3,-4,-15,2,-28,4,27,-8,6,-9,-11,-12,-8,-6,3,-6,1,1,-11,-8,11,-4,5,-34,7,-27,-11,-6,-13,-5,1,3,6,-39,7,-12,-16,-17,8,5,-6,-2
89,-54,-5,-1,-13,-12,-9,-2,-10,-21,-7,-19,-59,-17,-1,-18,-3,-20,-1,-20,-3,-18,-3,-13,-12,-19,-10,-49,-38,-29,-6,-10,-10,-18,-41,1,-55,-1,-17,-1,-47,-53,-29,-33,-19,-29,-40,-10,-39,-9,-33,-11,-76,-37,-23,-26,-16,-30,-16,-37,-37,-34,-44,-29,-66,-27,0,-2,-4,-2,-9,0,-16,-10,-13,-5,-10,-6,-3,0,-3,-9,-11,-10,-13,-1,-12,-6,-16,-2,-22,-13,-5,-11,-8,-4,-28,3,-26,-11,-25,-15,-37,-19,-27,-7,-17,-4,-29,-29,-21,-17,-29,-12,-18,-32,-17,-17,-20,-31,-2,-20,-24,-40,-29,-34,-23,-36,-9,-56,-45,-55,-31,-33,-36,-33,-37,-42,-34,-29,-39,-24,-9,-18,-32,-40,-44,-21,-35,-40,-27,-52,-48,-17,-53,-53,-54,-56,-67,-32,-47,-58,-30,-59,-63,-59,-54,-49,-33,-56,-63,-20,-11,-36,-63,-11,-40,-7,-35,-2,-25,-12,-38,-26,-7,-10,-53,-53,-14,-5,-14,-1,-16,-3,-9,-1,-14,-6,-4,-11,-17,1,-10,-11,-5,-8,2,0,-10,0,-9,-15,-9,-14,-11,-3,-15,-13,-4,-19,-1,0,-9,-8,-13,-19,-12,-15,-10,2,-10,2,-8,-12,-15,-1,-16,-26,-42,-27,-10,-17,-25,-32,-10,-11,-46,5,-57,3,-32,-37,-12,-3,-5,-15,-53
92,-50,-5,3,-14,-16,-12,-2,-12,-22,-6,-14,-53,-18,-3,-17,-5,-22,-2,-19,-3,-17,-4,-14,-19,-22,-13,-12,-50,-34,-5,-33,-16,-6,-57,0,-55,-1,-17,-3,-46,-48,-26,-26,-24,-29,-41,-24,-22,-13,-34,-11,-60,-39,-33,-21,-20,-28,-14,-40,-39,-36,-38,-32,-50,-19,1,-2,-4,-1,-9,1,-13,-8,-12,-5,-10,-6,-3,0,-3,-8,-11,-10,-12,0,-10,-7,-16,-4,-22,-13,-6,-13,-8,-3,-29,4,-26,-11,-23,-16,-30,-21,-51,-16,-19,-3,-34,-35,-40,-18,-20,-13,-18,-21,-13,-20,-29,-30,-2,-18,-10,-45,-12,-34,-25,-33,-8,-48,-30,-53,-43,-35,-36,-29,-27,-37,-25,-31,-33,-20,-27,2,-31,-5,-15,-11,-28,-12,-22,-16,-38,-12,-64,-17,-34,-17,-36,-18,-46,-17,-29,-14,-36,-19,-38,-16,-24,-27,-55,-17,-21,11,-56,2,-12,-6,-24,20,-25,-2,-21,-5,-2,9,-46,-22,-17,4,-10,3,-19,8,-6,13,-14,5,-5,14,11,0,12,-12,18,-11,17,11,-10,3,-9,6,-10,6,8,1,7,-8,1,-20,17,19,-9,-5,-12,-6,-11,-7,-1,1,-3,0,5,-12,0,8,-14,-3,-47,5,-47,-6,-3,-14,-2,-19,1,6,-31,6,-19,-16,-8,-2,13,-12,-4
